"timestamp,ip,event,url,port,status_code,user_agent
2026-05-19 08:00:01,192.168.1.10,login_success,/login,443,200,Mozilla
2026-05-19 08:00:15,192.168.1.11,request,/home,443,200,Chrome
2026-05-19 08:00:30,192.168.1.12,request,/products,443,200,Edge
2026-05-19 08:01:00,192.168.1.13,request,/contact,443,200,Mozilla
2026-05-19 08:01:12,192.168.1.20,failed_login,/login,443,401,Mozilla
2026-05-19 08:01:45,192.168.1.20,failed_login,/login,443,401,Mozilla
2026-05-19 08:02:10,192.168.1.20,failed_login,/login,443,401,Mozilla
2026-05-19 08:02:40,192.168.1.20,failed_login,/login,443,401,Mozilla
2026-05-19 08:03:05,192.168.1.20,failed_login,/login,443,401,Mozilla
2026-05-19 08:03:30,192.168.1.20,failed_login,/login,443,401,Mozilla
2026-05-19 08:03:55,192.168.1.20,login_success,/login,443,200,Mozilla
2026-05-19 08:04:22,10.0.0.5,request,/home,443,200,Chrome
2026-05-19 08:04:30,10.0.0.5,request,/products,443,200,Chrome
2026-05-19 08:04:35,10.0.0.5,request,/contact,443,200,Chrome
2026-05-19 08:04:40,10.0.0.5,request,/admin,443,403,Python-requests
2026-05-19 08:04:44,10.0.0.5,request,/wp-admin,443,404,Python-requests
2026-05-19 08:04:48,10.0.0.5,request,/phpmyadmin,443,404,Python-requests
2026-05-19 08:04:55,10.0.0.5,request,/server-status,443,403,Python-requests
2026-05-19 08:05:01,172.16.0.8,port_scan,/scan,21,0,Nmap
2026-05-19 08:05:02,172.16.0.8,port_scan,/scan,22,0,Nmap
2026-05-19 08:05:03,172.16.0.8,port_scan,/scan,23,0,Nmap
2026-05-19 08:05:04,172.16.0.8,port_scan,/scan,80,0,Nmap
2026-05-19 08:05:05,172.16.0.8,port_scan,/scan,443,0,Nmap
2026-05-19 08:05:06,172.16.0.8,port_scan,/scan,3306,0,Nmap
2026-05-19 08:05:07,172.16.0.8,port_scan,/scan,5432,0,Nmap
2026-05-19 08:06:10,203.0.113.55,request,/index.php,443,200,Mozilla
2026-05-19 08:06:20,203.0.113.55,request,/etc/passwd,443,403,curl
2026-05-19 08:06:25,203.0.113.55,request,/.env,443,403,curl
2026-05-19 08:06:30,203.0.113.55,request,/config.php,443,403,curl
2026-05-19 08:07:00,198.51.100.23,request,/home,443,200,Chrome
2026-05-19 08:07:05,198.51.100.23,request,/home,443,200,Chrome
2026-05-19 08:07:10,198.51.100.23,request,/home,443,200,Chrome
2026-05-19 08:07:15,198.51.100.23,request,/home,443,200,Chrome
2026-05-19 08:07:20,198.51.100.23,request,/home,443,200,Chrome
2026-05-19 08:07:25,198.51.100.23,request,/home,443,200,Chrome
2026-05-19 08:07:30,198.51.100.23,request,/home,443,200,Chrome
2026-05-19 08:08:00,192.168.1.30,failed_login,/login,443,401,Firefox
2026-05-19 08:08:40,192.168.1.31,failed_login,/login,443,401,Firefox
2026-05-19 08:09:20,192.168.1.32,failed_login,/login,443,401,Firefox
2026-05-19 08:10:00,192.168.1.33,failed_login,/login,443,401,Firefox
2026-05-19 08:10:40,192.168.1.34,failed_login,/login,443,401,Firefox
2026-05-19 08:11:20,192.168.1.35,failed_login,/login,443,401,Firefox
2026-05-19 08:12:00,185.45.67.10,request,/admin/login,443,403,curl
2026-05-19 08:12:05,185.45.67.10,request,/admin/config,443,403,curl
2026-05-19 08:12:10,185.45.67.10,request,/backup.zip,443,404,curl
2026-05-19 08:12:15,185.45.67.10,request,/db.sql,443,404,curl
2026-05-19 08:12:20,185.45.67.10,request,/wp-login.php,443,404,curl
2026-05-19 08:13:00,192.168.1.50,login_success,/login,443,200,Chrome
2026-05-19 08:13:10,192.168.1.50,request,/dashboard,443,200,Chrome
2026-05-19 08:13:20,192.168.1.50,request,/profile,443,200,Chrome
2026-05-19 08:14:00,91.92.93.94,port_scan,/scan,20,0,Nmap
2026-05-19 08:14:01,91.92.93.94,port_scan,/scan,21,0,Nmap
2026-05-19 08:14:02,91.92.93.94,port_scan,/scan,22,0,Nmap
2026-05-19 08:14:03,91.92.93.94,port_scan,/scan,25,0,Nmap
2026-05-19 08:14:04,91.92.93.94,port_scan,/scan,53,0,Nmap
2026-05-19 08:14:05,91.92.93.94,port_scan,/scan,80,0,Nmap
2026-05-19 08:14:06,91.92.93.94,port_scan,/scan,110,0,Nmap
2026-05-19 08:14:07,91.92.93.94,port_scan,/scan,143,0,Nmap
2026-05-19 08:14:08,91.92.93.94,port_scan,/scan,443,0,Nmap
2026-05-19 08:15:00,192.168.1.60,request,/home,443,200,Edge"
